date,metric,value
20/03/2020,hospital_beds,1580
21/03/2020,hospital_beds,2152
22/03/2020,hospital_beds,2670
23/03/2020,hospital_beds,3183
24/03/2020,hospital_beds,3598
25/03/2020,hospital_beds,4402
26/03/2020,hospital_beds,5226
27/03/2020,hospital_beds,6462
28/03/2020,hospital_beds,7269
29/03/2020,hospital_beds,8424
30/03/2020,hospital_beds,9852
31/03/2020,hospital_beds,11154
01/04/2020,hospital_beds,12059
02/04/2020,hospital_beds,12135
03/04/2020,hospital_beds,13635
04/04/2020,hospital_beds,15469
05/04/2020,hospital_beds,16657
06/04/2020,hospital_beds,17154
07/04/2020,hospital_beds,17814
08/04/2020,hospital_beds,18152
09/04/2020,hospital_beds,17826
10/04/2020,hospital_beds,18669
11/04/2020,hospital_beds,18604
12/04/2020,hospital_beds,18974
13/04/2020,hospital_beds,18621
14/04/2020,hospital_beds,18552
15/04/2020,hospital_beds,17934
16/04/2020,hospital_beds,17783
17/04/2020,hospital_beds,16728
18/04/2020,hospital_beds,16850
19/04/2020,hospital_beds,16928
20/04/2020,hospital_beds,16654
21/04/2020,hospital_beds,16517
22/04/2020,hospital_beds,16018
23/04/2020,hospital_beds,15402
24/04/2020,hospital_beds,14642
25/04/2020,hospital_beds,14202
26/04/2020,hospital_beds,14174
27/04/2020,hospital_beds,14255
28/04/2020,hospital_beds,13565
29/04/2020,hospital_beds,13224
30/04/2020,hospital_beds,12922
01/05/2020,hospital_beds,12623
02/05/2020,hospital_beds,12314
03/05/2020,hospital_beds,12119
04/05/2020,hospital_beds,12020
05/05/2020,hospital_beds,11754
06/05/2020,hospital_beds,11227
07/05/2020,hospital_beds,10726
08/05/2020,hospital_beds,10249
09/05/2020,hospital_beds,10176
10/05/2020,hospital_beds,9893
11/05/2020,hospital_beds,10109
12/05/2020,hospital_beds,9791
13/05/2020,hospital_beds,9602
14/05/2020,hospital_beds,9231
15/05/2020,hospital_beds,9079
16/05/2020,hospital_beds,8643
17/05/2020,hospital_beds,8611
18/05/2020,hospital_beds,8668
19/05/2020,hospital_beds,8518
20/05/2020,hospital_beds,8115
21/05/2020,hospital_beds,7903
22/05/2020,hospital_beds,7761
23/05/2020,hospital_beds,7428
24/05/2020,hospital_beds,7415
25/05/2020,hospital_beds,7448
26/05/2020,hospital_beds,7305
27/05/2020,hospital_beds,6836
28/05/2020,hospital_beds,6528
29/05/2020,hospital_beds,6250
30/05/2020,hospital_beds,5972
31/05/2020,hospital_beds,5933
01/06/2020,hospital_beds,5954
02/06/2020,hospital_beds,5827
03/06/2020,hospital_beds,5600
04/06/2020,hospital_beds,5398
05/06/2020,hospital_beds,5213
06/06/2020,hospital_beds,5004
07/06/2020,hospital_beds,4820
08/06/2020,hospital_beds,4830
09/06/2020,hospital_beds,4665
10/06/2020,hospital_beds,4447
11/06/2020,hospital_beds,4179
12/06/2020,hospital_beds,4136
13/06/2020,hospital_beds,4000
14/06/2020,hospital_beds,3973
15/06/2020,hospital_beds,3920
16/06/2020,hospital_beds,3934
17/06/2020,hospital_beds,3826
18/06/2020,hospital_beds,3681
19/06/2020,hospital_beds,3575
20/06/2020,hospital_beds,3423
21/06/2020,hospital_beds,3373
22/06/2020,hospital_beds,3417
23/06/2020,hospital_beds,3288
24/06/2020,hospital_beds,3223
25/06/2020,hospital_beds,3066
26/06/2020,hospital_beds,2859
27/06/2020,hospital_beds,2819
28/06/2020,hospital_beds,2818
29/06/2020,hospital_beds,3024
30/06/2020,hospital_beds,2665
01/07/2020,hospital_beds,2509
02/07/2020,hospital_beds,2410
03/07/2020,hospital_beds,2294
04/07/2020,hospital_beds,2152
05/07/2020,hospital_beds,2100
06/07/2020,hospital_beds,2099
07/07/2020,hospital_beds,2010
08/07/2020,hospital_beds,1888
09/07/2020,hospital_beds,1801
10/07/2020,hospital_beds,1746
11/07/2020,hospital_beds,1640
12/07/2020,hospital_beds,1611
13/07/2020,hospital_beds,1612
14/07/2020,hospital_beds,1506
15/07/2020,hospital_beds,1489
16/07/2020,hospital_beds,1348
17/07/2020,hospital_beds,1346
18/07/2020,hospital_beds,1321
19/07/2020,hospital_beds,1301
20/07/2020,hospital_beds,1278
21/07/2020,hospital_beds,1188
22/07/2020,hospital_beds,1305
23/07/2020,hospital_beds,1095
24/07/2020,hospital_beds,1018
25/07/2020,hospital_beds,977
26/07/2020,hospital_beds,965
27/07/2020,hospital_beds,945
