Age,Asian,Black,Mixed,White,Other
0,0.121619054,0.049414488,0.082887146,0.720836644,0.025242668
1,0.12429551,0.051391651,0.081502141,0.716405225,0.026405473
2,0.12250519,0.05166913,0.080189327,0.719095043,0.02654131
3,0.12219109,0.051600131,0.077344318,0.722697192,0.026167269
4,0.126547434,0.05276547,0.075892892,0.718187231,0.026606973
5,0.12329963,0.053280804,0.073662476,0.722482844,0.027274245
6,0.126052939,0.053561547,0.072329993,0.720971163,0.027084358
7,0.125835705,0.054926959,0.069542781,0.722724341,0.026970214
8,0.124284934,0.055507378,0.069353252,0.724292221,0.026562215
9,0.122390058,0.055978746,0.067138496,0.727817297,0.026675402
10,0.120422165,0.058155691,0.06545575,0.729127521,0.026838873
11,0.12215905,0.060018031,0.064002268,0.72653444,0.027286211
12,0.123391122,0.061779471,0.062946911,0.725148119,0.026734378
13,0.123261282,0.06165994,0.061637966,0.727152201,0.026288611
14,0.121701698,0.062746901,0.059686077,0.72989355,0.025971774
15,0.122020136,0.062822633,0.057086079,0.731887939,0.026183213
16,0.12286361,0.06336033,0.055946479,0.731245958,0.026583623
17,0.120348882,0.063421852,0.052706176,0.737076552,0.026446538
18,0.124516231,0.063912803,0.05027249,0.734602322,0.026696154
19,0.125341228,0.06036372,0.048014149,0.738267523,0.02801338
20,0.124011428,0.057146597,0.046019144,0.745362278,0.027460553
21,0.120555119,0.054636591,0.04434968,0.754139079,0.02631953
22,0.122904622,0.052281735,0.043154794,0.755936148,0.025722701
23,0.122912788,0.050945153,0.041493627,0.759852499,0.024795933
24,0.118064444,0.049718007,0.040083824,0.767781044,0.024352681
25,0.113012087,0.049549455,0.037420198,0.774081175,0.025937085
26,0.110764366,0.04722986,0.036238658,0.779701677,0.026065439
27,0.10875769,0.045356648,0.035193636,0.784133586,0.026558441
28,0.109554629,0.043605016,0.033662332,0.787038812,0.026139211
29,0.108838808,0.041519418,0.032661942,0.790124172,0.02685566
30,0.111308151,0.041432725,0.032296471,0.787873471,0.027089182
31,0.117286494,0.042761427,0.030914243,0.780247086,0.02879075
32,0.122161301,0.043091945,0.030292107,0.775503235,0.028951412
33,0.125079782,0.041949815,0.029115825,0.774888931,0.028965647
34,0.129192891,0.044101448,0.02841535,0.768728299,0.029562013
35,0.131476592,0.044188293,0.027174963,0.766391912,0.03076824
36,0.133152174,0.045309405,0.026027004,0.765124857,0.03038656
37,0.13461883,0.045279914,0.0251415,0.764357329,0.030602427
38,0.136881393,0.047859413,0.02484443,0.759501108,0.030913655
39,0.136647248,0.045170934,0.023536399,0.764068787,0.030576632
40,0.133555208,0.047944401,0.022781258,0.765022187,0.030696946
41,0.134805091,0.04883983,0.021367011,0.764631398,0.030356669
42,0.135534853,0.050458106,0.021676897,0.762233063,0.030097081
43,0.134851425,0.050806254,0.020288304,0.763365078,0.03068894
44,0.134733808,0.050868735,0.018934639,0.765274363,0.030188455
45,0.12491762,0.051873874,0.01818954,0.776541058,0.028477907
46,0.116362493,0.049641995,0.017271441,0.789870089,0.026853982
47,0.111428571,0.045784659,0.01679803,0.800457424,0.025531316
48,0.102264052,0.045922883,0.016282794,0.812315467,0.023214805
49,0.094185291,0.041079782,0.015157225,0.828060031,0.021517672
50,0.08855964,0.045543684,0.01503903,0.829814463,0.021043181
51,0.086751784,0.046055584,0.014783836,0.831979395,0.020429401
52,0.079397682,0.046019624,0.014809963,0.840377975,0.019394756
53,0.073835896,0.045412371,0.014378131,0.848341748,0.018031853
54,0.064870298,0.045106421,0.0137781,0.85933743,0.016907752
