date,stringency
01/01/2020,0
02/01/2020,0
03/01/2020,0
04/01/2020,0
05/01/2020,0
06/01/2020,0
07/01/2020,0
08/01/2020,0
09/01/2020,0
10/01/2020,0
11/01/2020,0
12/01/2020,0
13/01/2020,0
14/01/2020,0
15/01/2020,0
16/01/2020,0
17/01/2020,0
18/01/2020,0
19/01/2020,0
20/01/2020,5.56
21/01/2020,5.56
22/01/2020,5.56
23/01/2020,5.56
24/01/2020,5.56
25/01/2020,5.56
26/01/2020,5.56
27/01/2020,5.56
28/01/2020,5.56
29/01/2020,5.56
30/01/2020,5.56
31/01/2020,8.33
01/02/2020,8.33
02/02/2020,11.11
03/02/2020,11.11
04/02/2020,11.11
05/02/2020,11.11
06/02/2020,11.11
07/02/2020,11.11
08/02/2020,11.11
09/02/2020,11.11
10/02/2020,11.11
11/02/2020,11.11
12/02/2020,11.11
13/02/2020,11.11
14/02/2020,11.11
15/02/2020,11.11
16/02/2020,11.11
17/02/2020,11.11
18/02/2020,11.11
19/02/2020,11.11
20/02/2020,11.11
21/02/2020,11.11
22/02/2020,11.11
23/02/2020,11.11
24/02/2020,11.11
25/02/2020,11.11
26/02/2020,11.11
27/02/2020,11.11
28/02/2020,11.11
29/02/2020,11.11
01/03/2020,11.11
02/03/2020,11.11
03/03/2020,11.11
04/03/2020,11.11
05/03/2020,11.11
06/03/2020,11.11
07/03/2020,11.11
08/03/2020,11.11
09/03/2020,11.11
10/03/2020,11.11
11/03/2020,11.11
12/03/2020,11.11
13/03/2020,12.96
14/03/2020,12.96
15/03/2020,12.96
16/03/2020,16.67
17/03/2020,22.22
18/03/2020,31.48
19/03/2020,31.48
20/03/2020,37.04
21/03/2020,47.22
22/03/2020,62.04
23/03/2020,78.24
24/03/2020,79.63
25/03/2020,79.63
26/03/2020,79.63
27/03/2020,79.63
28/03/2020,79.63
29/03/2020,79.63
30/03/2020,79.63
31/03/2020,79.63
01/04/2020,79.63
02/04/2020,79.63
03/04/2020,79.63
04/04/2020,79.63
05/04/2020,79.63
06/04/2020,79.63
07/04/2020,79.63
08/04/2020,79.63
09/04/2020,79.63
10/04/2020,79.63
11/04/2020,79.63
12/04/2020,79.63
13/04/2020,79.63
14/04/2020,79.63
15/04/2020,79.63
16/04/2020,79.63
17/04/2020,79.63
18/04/2020,79.63
19/04/2020,79.63
20/04/2020,79.63
21/04/2020,79.63
22/04/2020,79.63
23/04/2020,79.63
24/04/2020,79.63
25/04/2020,79.63
26/04/2020,79.63
27/04/2020,79.63
28/04/2020,79.63
29/04/2020,79.63
30/04/2020,79.63
